               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.030593,            0.013765,          0.00045291,             0.82312,             0.96491,             0.87019,             0.50092,            0.028302,            0.011675,          0.00098233,            0.001486,            0.001486,            0.001486
                  88,            0.030754,            0.013583,          0.00044947,             0.82461,             0.96934,             0.86101,              0.5005,            0.028119,            0.011648,          0.00096198,            0.001387,            0.001387,            0.001387
                  89,            0.030767,            0.013719,          0.00045703,             0.82177,             0.96829,             0.88065,              0.5149,            0.028094,            0.011639,          0.00097512,            0.001288,            0.001288,            0.001288
                  90,            0.030516,            0.013679,          0.00043403,             0.82061,             0.96994,             0.87656,             0.51316,            0.028133,            0.011656,           0.0010329,            0.001189,            0.001189,            0.001189
                  91,            0.030528,            0.013663,          0.00043562,             0.82128,             0.97058,             0.87917,             0.51322,            0.028122,            0.011677,           0.0010838,             0.00109,             0.00109,             0.00109
                  92,            0.030428,            0.013512,          0.00047429,             0.82669,             0.94804,             0.89042,             0.52376,            0.028133,            0.011632,           0.0010786,            0.000991,            0.000991,            0.000991
                  93,            0.030315,            0.013762,          0.00045549,             0.82365,             0.94752,             0.89209,             0.52331,            0.028157,            0.011623,           0.0010638,            0.000892,            0.000892,            0.000892
                  94,            0.030562,            0.013996,          0.00046779,             0.82035,             0.96175,             0.89353,             0.52718,            0.028048,            0.011594,           0.0011001,            0.000793,            0.000793,            0.000793
                  95,            0.030083,            0.013557,          0.00042911,             0.82161,             0.96077,             0.88709,             0.52346,            0.028018,            0.011586,           0.0010981,            0.000694,            0.000694,            0.000694
                  96,            0.030351,            0.013497,          0.00042654,             0.82032,             0.97005,             0.87802,             0.51892,            0.027965,            0.011586,           0.0011093,            0.000595,            0.000595,            0.000595
                  97,             0.03015,            0.013685,          0.00046518,             0.82608,             0.95829,             0.87574,             0.51849,            0.027977,            0.011584,           0.0010917,            0.000496,            0.000496,            0.000496
                  98,            0.030135,            0.013586,          0.00041239,             0.82459,             0.96068,             0.87842,             0.51778,             0.02796,            0.011576,           0.0010943,            0.000397,            0.000397,            0.000397
                  99,            0.030131,             0.01357,           0.0004294,              0.8265,              0.9588,             0.88407,             0.52279,            0.027921,            0.011557,           0.0010778,            0.000298,            0.000298,            0.000298
