               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.035297,            0.035287,           0.0066545,             0.87643,             0.89175,             0.93754,             0.67135,            0.031313,            0.021739,           0.0025868,            0.004456,            0.004456,            0.004456
                  58,            0.035426,            0.043264,           0.0066878,             0.91637,             0.88086,             0.93795,             0.67343,            0.031424,            0.021758,           0.0025515,            0.004357,            0.004357,            0.004357
                  59,            0.036344,            0.036658,           0.0053381,             0.89253,             0.91191,             0.94761,             0.66223,            0.031866,             0.02169,           0.0025268,            0.004258,            0.004258,            0.004258
                  60,            0.035582,             0.03787,           0.0060473,             0.92984,             0.87095,             0.94558,             0.68211,            0.030647,            0.021578,           0.0024957,            0.004159,            0.004159,            0.004159
                  61,            0.034738,             0.04109,           0.0057689,             0.93207,             0.87982,             0.93602,             0.68988,            0.030915,            0.021537,           0.0024669,             0.00406,             0.00406,             0.00406
                  62,            0.035484,            0.037707,           0.0064867,             0.93216,               0.878,             0.94254,              0.7047,            0.029719,            0.021322,           0.0024588,            0.003961,            0.003961,            0.003961
                  63,            0.034481,             0.03999,           0.0052855,             0.93562,             0.88231,             0.94591,             0.70523,            0.029802,            0.021166,           0.0024385,            0.003862,            0.003862,            0.003862
                  64,            0.035113,            0.038701,           0.0051405,             0.92701,             0.87904,             0.94441,             0.71693,            0.028966,            0.020844,           0.0024241,            0.003763,            0.003763,            0.003763
                  65,            0.033472,              0.0407,           0.0056949,             0.93087,             0.87537,              0.9475,             0.71815,            0.028652,            0.020755,           0.0023958,            0.003664,            0.003664,            0.003664
                  66,            0.031248,            0.035006,           0.0054082,             0.93545,             0.87231,             0.94726,             0.71377,            0.028665,            0.020761,           0.0023463,            0.003565,            0.003565,            0.003565
                  67,            0.032933,            0.040597,           0.0055543,             0.92358,             0.88114,             0.95024,             0.71363,            0.028883,            0.020794,           0.0023298,            0.003466,            0.003466,            0.003466
                  68,            0.033507,            0.037347,           0.0055725,             0.91794,             0.88634,             0.95161,             0.72557,            0.028287,              0.0207,           0.0023217,            0.003367,            0.003367,            0.003367
                  69,            0.033019,             0.04155,           0.0058308,             0.92831,             0.87905,             0.94774,              0.7142,            0.028062,            0.020635,           0.0022946,            0.003268,            0.003268,            0.003268
                  70,            0.033492,            0.045887,           0.0052642,             0.93218,             0.88042,             0.95049,             0.70476,            0.028997,            0.020743,           0.0022744,            0.003169,            0.003169,            0.003169
                  71,            0.032666,            0.039521,           0.0049082,             0.93327,             0.88081,             0.95278,             0.72063,            0.027874,            0.020597,            0.002281,             0.00307,             0.00307,             0.00307
                  72,            0.032705,            0.039969,           0.0053817,             0.89787,             0.91788,             0.95304,             0.73014,            0.027213,             0.02017,           0.0022812,            0.002971,            0.002971,            0.002971
                  73,            0.031383,            0.039198,           0.0054975,             0.88593,             0.91773,              0.9502,             0.71922,            0.027854,            0.020103,           0.0022423,            0.002872,            0.002872,            0.002872
                  74,            0.033369,            0.039163,           0.0052219,             0.89051,             0.92035,             0.95483,             0.73525,            0.027388,            0.019955,            0.002215,            0.002773,            0.002773,            0.002773
                  75,            0.033036,            0.041863,           0.0052291,             0.88289,             0.92051,             0.95564,             0.73323,            0.026984,            0.019826,           0.0022004,            0.002674,            0.002674,            0.002674
                  76,             0.03317,            0.034487,           0.0047017,             0.90615,              0.9045,              0.9557,             0.72505,            0.027265,            0.019731,           0.0021788,            0.002575,            0.002575,            0.002575
                  77,            0.031168,            0.035613,           0.0047467,             0.90115,             0.90611,             0.95573,             0.73884,            0.026583,            0.019458,           0.0021539,            0.002476,            0.002476,            0.002476
                  78,            0.031191,            0.037309,            0.004714,             0.89292,              0.9085,             0.95383,             0.73864,            0.026502,            0.019367,           0.0021393,            0.002377,            0.002377,            0.002377
                  79,            0.032473,            0.037893,           0.0049728,             0.89068,             0.92317,              0.9509,             0.74517,             0.02623,            0.019296,           0.0021318,            0.002278,            0.002278,            0.002278
                  80,            0.029755,              0.0321,           0.0050326,              0.8979,             0.92122,             0.94877,             0.74235,            0.026248,             0.01933,           0.0021403,            0.002179,            0.002179,            0.002179
                  81,            0.031907,            0.040169,           0.0048546,              0.8947,              0.9178,             0.94928,              0.7423,             0.02625,            0.019217,           0.0021183,             0.00208,             0.00208,             0.00208
                  82,            0.033601,            0.034382,           0.0054735,             0.89619,             0.91981,             0.95103,             0.74096,             0.02628,            0.019135,           0.0020866,            0.001981,            0.001981,            0.001981
                  83,            0.029647,            0.037326,           0.0045208,             0.90307,             0.91604,             0.95207,             0.75338,            0.025622,            0.018946,           0.0020598,            0.001882,            0.001882,            0.001882
